epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4672.25,1.02589,0.47948,1.11817,0.98749,0.96294,0.98722,0.71244,1.08876,0.37215,1.13224,0.005842,0.005842,0.005842
44,4779.89,1.02077,0.47794,1.12068,0.98699,0.96341,0.98733,0.7129,1.08954,0.37114,1.13298,0.005743,0.005743,0.005743
45,4887.77,1.02122,0.47403,1.11749,0.98514,0.96373,0.98637,0.71364,1.08961,0.37107,1.13265,0.005644,0.005644,0.005644
46,4995.61,1.01763,0.47664,1.11393,0.98278,0.96529,0.98619,0.7129,1.08986,0.37038,1.13232,0.005545,0.005545,0.005545
47,5103.37,1.00989,0.46857,1.10959,0.98468,0.96388,0.98625,0.71314,1.08919,0.36984,1.13167,0.005446,0.005446,0.005446
48,5211.98,1.00958,0.46685,1.11256,0.98233,0.9667,0.98574,0.71303,1.08902,0.36892,1.13212,0.005347,0.005347,0.005347
49,5320.45,1.00751,0.46516,1.11461,0.98495,0.96529,0.98589,0.71248,1.0882,0.3678,1.13138,0.005248,0.005248,0.005248
50,5427.55,1.01104,0.46496,1.10988,0.98511,0.96623,0.98802,0.7142,1.08767,0.36698,1.13083,0.005149,0.005149,0.005149
51,5536.4,1.00272,0.46407,1.10329,0.98377,0.96652,0.99008,0.71447,1.08698,0.36629,1.1302,0.00505,0.00505,0.00505
52,5695.89,0.9977,0.45719,1.10536,0.98331,0.9667,0.98793,0.71426,1.0862,0.36516,1.12948,0.004951,0.004951,0.004951
53,5822.17,0.99784,0.45732,1.10544,0.979,0.97045,0.98813,0.71438,1.08594,0.36512,1.12922,0.004852,0.004852,0.004852
54,5961.67,0.99901,0.45352,1.10067,0.98345,0.96623,0.9881,0.71393,1.08533,0.36488,1.12862,0.004753,0.004753,0.004753
55,6125.04,0.99038,0.45277,1.10316,0.98269,0.9667,0.988,0.71414,1.0847,0.36503,1.12815,0.004654,0.004654,0.004654
56,6256.14,0.99393,0.45235,1.10365,0.9792,0.97136,0.98822,0.71453,1.08417,0.36465,1.12793,0.004555,0.004555,0.004555
57,6376.99,0.98611,0.44648,1.09825,0.98422,0.96539,0.98812,0.71425,1.08354,0.36416,1.12761,0.004456,0.004456,0.004456
58,6486.18,0.97982,0.44283,1.09453,0.98418,0.96576,0.98812,0.71505,1.08301,0.36365,1.1271,0.004357,0.004357,0.004357
59,6595.95,0.98367,0.44582,1.09237,0.98255,0.96717,0.9883,0.71419,1.0829,0.36297,1.12702,0.004258,0.004258,0.004258
60,6705.35,0.97386,0.43996,1.09206,0.98284,0.96705,0.98819,0.71488,1.08268,0.36317,1.12683,0.004159,0.004159,0.004159
61,6815.41,0.97529,0.44209,1.09279,0.98514,0.96529,0.98815,0.71517,1.08235,0.36239,1.12679,0.00406,0.00406,0.00406
62,6923.93,0.97432,0.44296,1.09341,0.98432,0.96529,0.98832,0.71553,1.08227,0.36218,1.12666,0.003961,0.003961,0.003961
63,7032.9,0.97161,0.4392,1.09056,0.98377,0.96634,0.98845,0.71496,1.0823,0.36186,1.12662,0.003862,0.003862,0.003862
64,7142.19,0.97275,0.43904,1.09037,0.98331,0.96691,0.98812,0.71521,1.08185,0.36098,1.12618,0.003763,0.003763,0.003763
65,7252.02,0.96656,0.43425,1.08757,0.98331,0.96692,0.98803,0.7149,1.08175,0.36119,1.1261,0.003664,0.003664,0.003664
66,7359.96,0.9602,0.43043,1.0809,0.98331,0.96708,0.98818,0.71524,1.08139,0.36095,1.12599,0.003565,0.003565,0.003565
67,7467.4,0.9598,0.42657,1.08441,0.98148,0.96933,0.98774,0.71561,1.08101,0.36045,1.12573,0.003466,0.003466,0.003466
68,7602.95,0.95671,0.42528,1.08653,0.98083,0.96904,0.98775,0.71497,1.08076,0.35989,1.12582,0.003367,0.003367,0.003367
69,7774.87,0.95655,0.42776,1.08391,0.98515,0.96488,0.98793,0.71457,1.08078,0.35996,1.126,0.003268,0.003268,0.003268
