frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
60,bus,0.9,1,1332,195,1567,404,,,,,,
60,car,0.24,2,1290,314,1330,356,,,,,,
61,bus,0.89,1,1333,195,1564,404,,,,,,
61,car,0.24,2,1290,316,1329,356,,,,,,
62,bus,0.91,1,1333,196,1561,404,,,,,,
62,car,0.3,2,1289,318,1329,357,,,,,,
63,bus,0.9,1,1333,198,1555,405,,,,,,
63,car,0.38,2,1289,321,1329,358,,,,,,
64,bus,0.88,1,1330,198,1551,405,,,,,,
64,car,0.41,2,1289,321,1328,358,,,,,,
65,bus,0.86,1,1328,198,1548,403,,,,,,
65,car,0.44,2,1288,319,1327,358,,,,,,
66,bus,0.84,1,1327,199,1543,401,,,,,,
66,car,0.44,2,1288,319,1326,359,,,,,,
67,bus,0.81,1,1327,200,1538,398,,,,,,
67,car,0.49,2,1287,319,1326,360,,,,,,
68,bus,0.77,1,1325,201,1536,396,,,,,,
68,car,0.46,2,1287,319,1325,359,,,,,,
69,bus,0.76,1,1324,202,1533,396,,,,,,
69,car,0.47,2,1287,320,1325,360,,,,,,
70,bus,0.73,1,1324,204,1530,395,,,,,,
70,car,0.52,2,1286,320,1326,360,,,,,,
71,bus,0.75,1,1324,205,1527,397,,,,,,
71,car,0.46,2,1286,319,1326,359,,,,,,
72,bus,0.76,1,1322,205,1524,396,,,,,,
72,car,0.53,2,1286,319,1325,358,,,,,,
73,bus,0.76,1,1320,208,1523,394,,,,,,
73,car,0.6,2,1286,319,1323,357,,,,,,
74,bus,0.78,1,1320,209,1520,393,,,,,,
74,car,0.58,2,1286,320,1323,357,,,,,,
75,bus,0.76,1,1320,210,1516,392,,,,,,
75,car,0.58,2,1285,321,1322,356,,,,,,
76,bus,0.77,1,1319,210,1513,392,,,,,,
76,car,0.52,2,1285,321,1321,355,,,,,,
77,bus,0.73,1,1319,211,1510,391,,,,,,
77,car,0.5,2,1285,318,1320,355,,,,,,
